No,Publication Type,Authors,Article Title,Publication Year,DOI
50,J,"Nami, N; Pishchulov, G; Neto, JQF",Circular economy application in pharmaceutical supply chains in the UK: a holistic evolutionary game approach,2025,https://doi.org/10.1016/j.ejor.2025.05.009
51,J,"Khalilpoor, S; Kamran, MA; Solimanpur, M",Resilient COVID-19 vaccine supply chain: An optimization and simulation approach for multi-objective management,2025,https://doi.org/10.1016/j.tre.2025.104168
52,J,"Ganji, VY; Hozan, E; Babolhavaeji, P; Tajally, A; Ghanavati-Nejad, M",A robust design of a circular supply chain network based on the resilience and responsiveness dimensions: A data-driven model,2025,https://doi.org/10.1016/j.seps.2025.102294
53,C,"Shoaib, M; Tako, A; Fayad, R; Vargas-Palacios, A",Toward using simulation to evaluate the circular economy of small medical devices,2024,https://doi.org/10.1109/WSC63780.2024.10838979
54,J,"Roshani, A; Gholamian, MR; Arabi, M","Integrating the triple bottom line of sustainability, resilience strategies, and product perishability consideration to design a pharmaceutical supply chain network: a COVID-19 case study",2024,https://doi.org/10.1051/ro/2024183
55,J,"Nibbrig, MH; Azadeh, SS; Maknoon, MY",Adaptive resilience strategies for supply chain networks against disruptions,2025,https://doi.org/10.1016/j.tre.2025.104172
56,J,"Ali, W; Siddiqui, F; Javaid, S; Nabeel, M",A multi-objective optimization of healthcare supply chains during pandemics using neutrosophic goal programming approach,2025,https://doi.org/10.1007/s12597-025-01015-8
57,J,"�z�elik, G; Yeni, FB; Yilmaz, BG; Yilmaz, �F",A bi-objective robust optimization model to bolster a resilient medical supply chain in case of the ripple effect,2025,https://doi.org/10.1007/s12351-025-00928-y
58,J,"Erdem, M; �zdemir, A",A novel two-echelon sustainable network design and optimization under a fuzzy environment: a healthcare case study,2025,https://doi.org/10.1080/0305215X.2025.2501645
59,J,"Mansur, A; Hidayat, T; Rizky, N; Wangsa, ID",A multi-objective analytical framework for sustainable blood supply chain optimization,2025,https://doi.org/10.1016/j.sca.2025.100142
60,J,"Ailane, A; Bourekkache, S; Hamani, N; Bamoumen, M; Kahloul, L",Blockchain-enabled sustainable blood supply network design,2025,https://doi.org/10.1007/s12351-025-00961-x
61,J,"Ramandi, MD; Jabbarzadeh, A; Chaabane, A; Amodeo, L",Green supply chain coordination with profit-sharing and government intervention: a game-theoretic approach applied to the pharmaceutical industry,2025,https://doi.org/10.1080/01605682.2025.2544865
62,J,"Ghanbarzadeh, A; Mirzazadeh, A; Tavakkoli-Moghaddam, R; Molamohamadi, Z",Optimization of a sustainable supply chain for medical device industry under uncertainty and COVID-19 pandemic,2024,https://doi.org/10.1007/s10479-024-06370-1
63,J,"Quan, ZH; Liu, YK; Chen, AX",An accelerated Benders decomposition method for distributionally robust sustainable medical waste location and transportation problem,2025,https://doi.org/10.1016/j.cor.2024.106895
64,J,"Rafiei, M; Sobhani, FM; Molana, MH",Sustainable planning of a supply-hub in industrial cluster in the COVID-19 crisis: a case study in pharmaceutical sector,2025,https://doi.org/10.1007/s12597-024-00788-8
